sra	bioproject	biosample	DOI	url	platform	read_length	strategy	organism	accession	collection_host	collection_location	collection_year	Notes
SRR12300515	PRJNA647983	SAMN15615602	https://doi.org/10.1186%2Fs12864-021-07402-x		ILLUMINA	150	PE	Sclerotinia sclerotiorum	F5				
SRR12300516	PRJNA647983	SAMN15615601	https://doi.org/10.1186%2Fs12864-021-07402-x		ILLUMINA	150	PE	Sclerotinia sclerotiorum	F4				Fludioxinil resistant
SRR8485433	PRJNA516948	SAMN10817213	https://doi.org/10.1371/journal.pone.0214201		ILLUMINA	125	PE	Sclerotinia sclerotiorum	SK35	Brassica napus	Canada: Rouleau, Saskatchewan	2010	
SRR8485434	PRJNA516948	SAMN10817214	https://doi.org/10.1371/journal.pone.0214201		ILLUMINA	125	PE	Sclerotinia sclerotiorum	MB21	Brassica napus	Canada: Morton, Manitoba	2010	
SRR8485435	PRJNA516948	SAMN10817211	https://doi.org/10.1371/journal.pone.0214201		ILLUMINA	125	PE	Sclerotinia sclerotiorum	AB29	Brassica napus	Canada: Cayley, Alberta	2010	
SRR8485436	PRJNA516948	SAMN10817212	https://doi.org/10.1371/journal.pone.0214201		ILLUMINA	125	PE	Sclerotinia sclerotiorum	321	Brassica napus	Canada: Olds, Alberta	1992	
SRR8485437	PRJNA516948	SAMN10817209	https://doi.org/10.1371/journal.pone.0214201		ILLUMINA	100	PE	Sclerotinia sclerotiorum	BloC014	Brassica napus	France: Blois	2010	
SRR8485438	PRJNA516948	SAMN10817210	https://doi.org/10.1371/journal.pone.0214201		ILLUMINA	100	PE	Sclerotinia sclerotiorum	FrB5	Brassica napus	France: Dijon	2010	
SRR8485439	PRJNA516948	SAMN10817207	https://doi.org/10.1371/journal.pone.0214201		ILLUMINA	100	PE	Sclerotinia sclerotiorum	P163	Brassica napus	France: Blois	2010	
SRR8485440	PRJNA516948	SAMN10817208	https://doi.org/10.1371/journal.pone.0214201		ILLUMINA	100	PE	Sclerotinia sclerotiorum	BloC104	Brassica napus	France: Blois	2010	
