sra	bioproject	biosample	DOI	platform	read_length	strategy	stranded	organism	accession	host	host_accession	tissue	hpi	plant_tissue	treatment	sample_material	notes	
SRR10015839	 PRJNA561716	SAMN12627180	https://doi.org/10.1038/s41598-020-70315-4	ILLUMINA	50	SE	unstranded	Sclerotinia sclerotiorum		Helianthus annuus	HA853	lesion	96	floret				
SRR10015844	 PRJNA561716	SAMN12627184	https://doi.org/10.1038/s41598-020-70315-4	ILLUMINA	50	SE	unstranded	Sclerotinia sclerotiorum		Helianthus annuus	HA853	lesion	96	floret				
SRR10015832	 PRJNA561716	SAMN12627156	https://doi.org/10.1038/s41598-020-70315-4	ILLUMINA	50	SE	unstranded	Sclerotinia sclerotiorum		Helianthus annuus	HA853	lesion	192	floret				
SRR10015875	 PRJNA561716	SAMN12627154	https://doi.org/10.1038/s41598-020-70315-4	ILLUMINA	50	SE	unstranded	Sclerotinia sclerotiorum		Helianthus annuus	HA853	lesion	192	floret				
SRR10015825	 PRJNA561716	SAMN12627162	https://doi.org/10.1038/s41598-020-70315-4	ILLUMINA	50	SE	unstranded	Sclerotinia sclerotiorum		Helianthus annuus	HA89	lesion	96	floret				
SRR10015871	 PRJNA561716	SAMN12627166	https://doi.org/10.1038/s41598-020-70315-4	ILLUMINA	50	SE	unstranded	Sclerotinia sclerotiorum		Helianthus annuus	HA89	lesion	96	floret				
SRR10015821	 PRJNA561716	SAMN12627194	https://doi.org/10.1038/s41598-020-70315-4	ILLUMINA	50	SE	unstranded	Sclerotinia sclerotiorum		Helianthus annuus	HA89	lesion	192	floret				
SRR10015857	 PRJNA561716	SAMN12627198	https://doi.org/10.1038/s41598-020-70315-4	ILLUMINA	50	SE	unstranded	Sclerotinia sclerotiorum		Helianthus annuus	HA89	lesion	192	floret				
SRR10015846	 PRJNA561716	SAMN12627186	https://doi.org/10.1038/s41598-020-70315-4	ILLUMINA	50	SE	unstranded	Sclerotinia sclerotiorum		Helianthus annuus	RK416	lesion	96	floret				
SRR10015850	 PRJNA561716	SAMN12627190	https://doi.org/10.1038/s41598-020-70315-4	ILLUMINA	50	SE	unstranded	Sclerotinia sclerotiorum		Helianthus annuus	RK416	lesion	96	floret				
SRR10015861	 PRJNA561716	SAMN12627202	https://doi.org/10.1038/s41598-020-70315-4	ILLUMINA	50	SE	unstranded	Sclerotinia sclerotiorum		Helianthus annuus	RK416	lesion	96	floret				
SRR10015865	 PRJNA561716	SAMN12627208	https://doi.org/10.1038/s41598-020-70315-4	ILLUMINA	50	SE	unstranded	Sclerotinia sclerotiorum		Helianthus annuus	RK416	lesion	96	floret				
